"density(g/cc)","porosity(%)","Gamma(API)","sonic(ms/m","resistivity(ohm-m)"
2.8,10,60.3403,171.7001,7.7984
2.85,12,66.6863,171.97,7.7337
2.76,3,121.5104,170.0401,7.9441
2.68,5,115.5843,171.09,8.0384
2.55,35,54.5982,168.45,8.002
2.2,37,74.4405,167.5299,7.7765
2.59,25,54.5982,168.35,7.4233
2.65,8,99.4843,176.33,7.0639
2.86,20,33.1155,161,8.806
2.7129,16.211,55.766,159,9.5235
2.674,16.602,53.991,160,9.5324
2.6132,17.084,54.749,166,9.1762
2.6161,17.674,55.575,162,8.83
2.6264,18.533,56.513,161,8.4515
2.6313,19.464,57.469,163,8.1994
2.7139,20.206,55.971,162,8.2055
2.6765,20.479,55.126,162,8.3738
2.6698,20.426,56.411,163,8.6677
2.6862,20.204,58.151,162,9.006
2.7129,16.211,55.766,165,8.8896
2.674,16.602,53.991,169,8.2375
2.6132,17.084,54.749,168,7.778
2.6161,17.674,55.575,167,7.6565
2.6264,18.533,56.513,166,7.5835
2.6313,19.464,57.469,165,7.4116
2.7139,20.206,55.971,164,7.2501
2.6765,20.479,55.126,163,7.0938
2.6698,20.426,56.411,162,7.1309
2.6862,20.204,58.151,165,7.3803
2.7255,19.949,56.447,160,9.5235
2.7308,19.72,56.626,166,9.5324
2.7296,19.438,56.281,164,9.1762
2.1309,14.025,75.684,163,8.83
2.4497,13.182,77.366,162,8.4515
2.6262,12.365,78.717,166,8.1994
2.5871,12.23,77.823,163,8.2055
2.1247,12.892,78.097,169,8.3738
2.8795,25.509,75.682,168,8.6677
2.8947,25.101,68.17,167,9.006
2.8609,24.779,71.136,166,8.8896
2.8193,24.354,83.74,165,8.2375
2.8466,24.062,82.418,164,7.778
2.8694,23.959,69.939,163,7.6565
2.8261,24.142,69.355,162,7.5835
2.8496,24.634,85.196,165,7.4116
2.7163,8.2287,111.93,168.7201,8.4515
2.7384,8.1708,114.46,168.64,8.1994
2.7352,8.3533,117.35,168.6501,8.2055
2.7168,8.6204,119.31,169.1201,8.3738
2.7302,8.874,122.44,169.7601,8.6677
2.7695,9.0558,122.6101,170.3399,9.006
2.7592,9.3483,123.97,169.52,8.8896
2.7359,9.6893,125.9399,168.7499,8.2375
2.7715,10.203,125.21,168.64,7.778
2.7459,10.432,123.8,168.67,7.6565
2.7205,10.5,125.49,169.5901,7.5835
2.6489,10.339,126.2799,169.9,7.4116
2.6985,10.148,127.14,169.6101,7.2501
2.7573,9.9967,126.71,169.46,7.0938
2.7542,9.8567,126.6199,169.6699,7.1309
2.7543,9.8655,124.6399,170.78,7.3803
2.7397,10.098,122.6101,169.3,9.5235
2.4227,17.246,71.748,168.45,8.002
2.4339,17.511,68.365,167.5299,7.7765
2.4303,18.404,66.577,168.35,7.4233
2.3154,19.499,65.681,169.22,7.1517
2.6736,19.771,51.618,169.2899,7.0813
2.4776,19.359,57.46,214.6301,5.2364
2.2831,19.042,56.068,219.5,5.2154
2.1291,19.322,56.316,217.8801,5.3543
2.1723,20.364,61.916,225.5,5.4701
2.3171,21.707,62.069,220.62,5.4614
2.5138,23.449,61.721,211.5,5.3795
2.762,24.83,60.836,200.6301,5.223
2.6471,25.514,59.653,217.8801,4.8481
2.5797,25.131,61.124,210.3801,4.4401
2.32,23.867,63.854,237.3701,4.3205
2.4556,22.484,63.119,168.45,8.002
2.7296,21.491,59.634,167.5299,7.7765
2.8338,21.158,60.033,168.35,7.4233
2.7725,21.229,60.458,169.22,7.1517
2.7591,21.18,63.939,169.2899,7.0813
2.6675,20.299,63.247,170.29,7.0849
2.5975,18.371,63.487,170.71,7.2406
2.8634,16.044,25.863,161,8.806
2.8813,16.713,25.599,160.3401,9.1018
2.8041,16.882,26.266,159.59,9.2303
2.8194,16.435,28.16,158.46,9.2834
2.8124,15.33,32.371,158.6499,9.2064
2.6896,14.149,29.218,159.82,9.0351
2.6166,13.182,27.129,160.1001,8.9756
2.5337,13.075,25.572,160.25,8.9765
2.292,13.433,23.379,161.18,8.9471
2.6316,14.018,23.699,161.79,8.9052
2.7741,14.124,24.838,151.1999,8.3042
2.6529,14.087,27.996,152.79,7.7728
1.8495,12.34,62.369,159,6.8145
1.4026,14.573,56.161,169.2001,6.9451
1.3899,17.703,54.537,162,7.1309
1.5412,21.214,55.482,167,7.3431
1.6583,24.333,56.068,169,7.5576
1.8308,26.744,54.761,170.48,7.7634
2.0433,28.113,52.283,169.0001,7.3212
2.089,29.382,51.048,167.84,6.7355
1.7876,30.522,49.019,166.6901,6.5727
1.405,31.668,49.499,167.17,6.5206
1.4798,31.726,44.947,168.53,6.6097
1.6868,30.727,48.429,163,6.848
1.5162,29.069,48.209,163,6.9395
1.4323,28.634,49.011,162,7.011
1.5809,29.373,51.313,162,7.1432
1.6666,30.988,52.739,165,7.2702
1.5969,32.144,53.005,167.6,7.167
1.7055,33.079,51.811,169.2899,6.8145
1.6259,34.238,51.551,169.2001,6.9451
2.8023,9.4722,62.803,168.7899,7.1309
2.8014,8.7732,70.61,161,7.3431
2.8463,8.3802,39.161,161,7.5576
2.8315,8.3578,38.068,163,7.7634
2.8437,8.5042,40.018,161,7.3212
2.7544,17.232,67.796,163,6.7355
2.7444,17.011,69.685,164,6.5727
2.7717,16.95,69.566,164,6.5206
2.679,18.328,69.894,163,6.6097
2.5581,18.043,68.599,167,6.848
2.0616,17.149,67.668,168,6.9395
1.9125,16.014,72.51,164,7.011
1.9952,15.047,73.637,162,7.1432
2.6,8,99.4843,168,7.2473
2.7,10,109.9472,172.7,7.1565
2.75,15,121.5104,173.1801,7.1674
2.75,7,109.9472,172.6399,7.2841
2.8,19,134.2898,169.2899,6.8145
2.9,25,4.4817,158.89,9.0586
2.95,17,7.3891,157.34,9.7396
3,20,20.0855,156.3099,9.9611
3.1,18,12.1825,154.9499,9.8645
3.2,26,33.1155,153.26,9.8145
3.3,18,39.6464,151.6201,9.8824
2,50,49.4024,169.2899,6.8145
2.2,56,54.5982,169.2001,6.9451
1,85,60.3403,161,7.1309
2.9,15,66.6863,163,7.3431
2.77,20,73.6998,167,7.5576
2.8,10,60.3403,167,7.7634
2.85,12,66.6863,169.0001,7.3212
2.76,3,121.5104,176.33,7.0639
2.68,5,115.5843,173.93,6.5489
2.55,35,54.5982,214.6301,5.2364
2.2,37,74.4405,219.5,5.2154
2.59,25,54.5982,217.8801,5.3543
2.65,8,99.4843,176.33,7.0639
2.86,20,33.1155,158.46,9.2834
2.67,5,115.5843,171.95,7.2473
2.73,13,98.4944,172.7,7.1565
2.78,9,119.1044,173.1801,7.1674
2.79,11,99.4843,167.17,6.5206
2.69,12,109.9472,168.53,6.6097
2.75,10,104.585,169.49,6.848
2.77,7,102.5141,170.7999,6.9395
2.6,10,102.5141,170.92,7.011
2.63,15,119.1044,172.8499,7.1605
2.61,14,105.6361,173.0899,7.0426
2.59,4,107.7701,173.51,7.0885
2.95,22,27.1126,158.46,9.2834
2.99,18,20.0855,158.89,9.0586
3,23,29.9641,157.34,9.7396
3.1,17,33.1155,156.3099,9.9611
3.2,19,38.4747,154.9499,9.8645
3.15,20,40.8538,153.26,9.8145
2.8,15,25.2797,151.6201,9.8824
2.82,13,18.1741,151.9499,9.951
2.85,12,12.1825,152.2301,9.9765
2.89,17,16.4446,152.32,10.0398
2.9,15,22.198,152.93,11.1343
2.93,12,24.5325,151.34,11.2602
2.95,19,38.4747,151.8101,11.3061
2.97,20,29.9641,151.34,11.322
2.99,17,27.1126,151.86,11.3674
3,16,24.5325,151.4299,11.4093
3.1,10,22.198,150.4001,11.4526
3.15,15,25.7903,149.23,11.6488
3.2,18,31.5004,149.09,12.0547
2.87,12,33.1155,149.84,12.5315
2.9,10,34.8133,149.23,12.8113
2.2,30,40.0448,165.3099,6.8786
2.5,32,40.8538,165.5499,6.9108
2.56,35,42.5211,165.83,7.0304
2.3,39,44.7012,166.9399,7.2071
2.45,43,49.4024,167.6501,7.345
2.55,42,54.5982,167.66,7.6158
2.35,47,64.0715,167.96,7.9381
2.45,50,77.4785,167.98,8.3948
1.7,15,85.6269,167.48,8.9393
1.8,12,78.2571,167.1401,8.9362
2,14,68.7172,166.47,8.7765
2.45,16,71.5216,165.4901,8.3998
2.19,17,61.5592,164.8301,8.1346
2.65,17,44.7012,163.9501,8.1388
2.68,18,46.0625,162.36,8.1679
2.7,19,46.9931,162.48,8.216
2.71,20,48.9109,162.8699,8.2825
2.74,21,50.4004,163.3301,7.997
2.78,22,51.9354,164.11,7.7016
2.8,23,77.4785,165.76,7.6081
2.85,20,81.4509,167.04,7.658
2.71,8,99.4843,171.95,7.2473
2.72,9,101.494,172.7,7.1565
2.73,10,104.585,173.1801,7.1674
2.74,11,109.9472,172.6399,7.2841
2.75,12,111.0522,173.8599,7.4193
2.76,13,113.2956,174.58,7.4813
2.77,14,114.4342,173.37,7.4375
2.78,15,120.3014,173.43,7.3167
2.78,7,121.5104,172.8499,7.1605
2.79,8,119.2235,173.0899,7.0426
2.65,9,129.0242,165.3099,6.8786
2.6,9.5,132.9536,165.5499,6.9108
2.68,10.5,137.0026,165.83,7.0304
2.69,11.5,134.2898,166.9399,7.2071
2.83,25,24.5325,158.89,9.0586
2.85,26,27.1126,157.34,9.7396
2.83,28,29.9641,156.3099,9.9611
2.8,29,33.1155,154.9499,9.8645
2.85,15,25.0281,153.26,9.8145
2.87,16,24.7791,151.6201,9.8824
2.88,17,23.3361,151.9499,9.951
2.89,18,20.0855,152.2301,9.9765
2.8,19,14.44,152.32,10.0398
2.79,20,2.7183,152.93,11.1343
2.83,21,3.3201,151.34,11.2602
2.84,22,20.0855,151.8101,11.3061
2.9,23,38.4747,151.34,11.322
2.89,24,24.5325,151.86,11.3674
2.86,25,35.5166,151.4299,11.4093
2.94,26,33.1155,150.4001,11.4526
2.96,10,36.5982,149.23,11.6488
2.99,15,31.817,149.09,12.0547
3,16,38.4747,149.84,12.5315
3.1,17,34.8133,149.23,12.8113
3.2,18,30.8766,148.8099,12.7674
3.16,20,17.2878,147.7801,12.1893
2.81,18,54.5982,164.6699,9.4931
2.82,19,60.3403,164.2,9.5039
2.83,20,61.5592,163.1001,9.2565
2.84,21,66.6863,162.2101,8.6161
2.8609,24.779,51.9354,162.5199,8.2745
2.8193,24.354,83.0963,163.18,8.1451
2.8466,24.062,89.1214,163.8299,8.1113
2.8694,23.959,85.6269,164.2699,8.3294
2.8261,24.142,51.9354,164.5899,8.8305
2.8496,24.634,84.7749,164.6301,9.1616
2.8609,24.779,12.1825,158.46,9.2834
2.71,8,90.9218,165.3099,6.8786
2.72,9,91.8356,165.5499,6.9108
2.74,10,92.7586,165.83,7.0304
2.65,11,94.6324,166.9399,7.2071
2.69,12,95.5835,167.6501,7.345
2.75,13,98.4944,167.66,7.6158
2.77,14,99.4843,167.96,7.9381
2.73,15,101.494,167.98,8.3948
2.71,6,102.5141,167.48,8.9393
2.72,7,104.585,167.1401,8.9362
2.76,5.6,106.6977,173.51,7.0885
2.78,7.9,108.8532,173.16,7.2556
2.79,12.3,112.1683,173.12,7.4883
2.784,10.11,114.4342,173.61,7.8228
2.75,14,115.5843,167.17,6.5206
2.74,13.5,121.5104,168.53,6.6097
2.73,14.3,108.3103,169.49,6.848
2.71,15,119.8211,167.17,6.5206
2.67,5,115.5843,170.92,7.011
2.73,13,98.4944,169.9299,7.1432
2.78,9,104.585,168.92,7.2702
2.77,7,102.5141,167.6,7.167
2.6,10,102.5141,169.2899,6.8145
2.63,15,119.1044,169.2001,6.9451
2.61,14,105.6361,168.7899,7.1309
2.95,22,27.1126,158.89,9.0586
2.99,18,20.0855,157.34,9.7396
3,23,29.9641,156.3099,9.9611
3.1,17,33.1155,154.9499,9.8645
3.2,19,38.4747,153.26,9.8145
3.15,20,40.8538,151.6201,9.8824
2.8,15,25.2797,151.9499,9.951
2.82,13,18.1741,152.2301,9.9765
2.85,12,12.1825,152.32,10.0398
2.89,17,16.4446,152.93,11.1343
2.9,15,22.198,151.34,11.2602
2.93,12,24.5325,151.8101,11.3061
2.95,19,38.4747,151.34,11.322
2.97,20,29.9641,151.86,11.3674
2.99,17,27.1126,151.4299,11.4093
3,16,24.5325,150.4001,11.4526
3.1,10,22.198,149.23,11.6488
3.15,15,25.7903,149.09,12.0547
3.2,18,31.5004,149.84,12.5315
2.87,12,33.1155,149.23,12.8113
2.9,10,34.8133,148.8099,12.7674
2.2,30,54.5982,163.0401,9.3015
2.5,32,60.3403,161.19,9.1656
2.56,35,66.6863,159.56,8.9685
2.3,39,63.434,158.44,8.8799
2.45,43,65.3659,158.9,8.8849
2.55,42,66.6863,160.32,8.9048
2.35,47,73.6998,160.45,8.9298
2.45,50,77.4785,158.7299,9.0291
1.7,15,85.6269,158.6499,9.1527
1.8,12,78.2571,159.2799,9.2987
2,14,68.7172,159.2,9.5501
2.45,16,71.5216,159.1201,9.6474
2.19,17,61.5592,159.2,9.7601
2.65,17,55.1469,161.1001,9.9136
2.68,18,60.9467,165.24,9.9356
2.7,19,67.3565,169.3101,9.7867
2.71,20,68.7172,172.6201,9.6338
2.74,21,66.6863,172.8901,9.4779
2.78,22,73.6998,171.1799,9.2795
2.8,23,77.4785,168.9899,9.006
2.85,20,81.4509,168.26,8.0876
2.75,12,111.0522,171.95,7.2473
2.76,13,113.2956,172.7,7.1565
2.77,14,114.4342,173.1801,7.1674
2.78,15,120.3014,172.6399,7.2841
2.78,7,125.211,173.8599,7.4193
2.79,8,122.7316,174.58,7.4813
2.65,9,129.0242,163.0401,9.3015
2.6,9.5,132.9536,161.19,9.1656
2.68,10.5,137.0026,159.56,8.9685
2.69,11.5,134.2898,158.44,8.8799
2.83,25,24.5325,150.0799,10.3995
2.85,26,27.1126,150.8699,10.5144
2.83,28,29.9641,150.59,10.4308
2.8,29,33.1155,150.3101,9.6871
2.85,15,25.0281,148.62,9.2022
2.87,16,24.7791,148.5799,9.1064
2.88,17,23.3361,148.62,9.1241
2.89,18,20.0855,150.68,9.4776
2.8,19,14.44,151.2899,10.1281
2.79,20,2.7183,151.6201,10.2888
2.83,21,3.3201,151.86,9.9354
2.84,22,20.0855,151.4799,9.2376
2.9,23,38.4747,150.73,8.5475
2.89,24,24.5325,149.7,7.7021
2.86,25,40.4473,153.36,8.5802
2.94,26,33.1155,154.15,8.2646
2.96,10,36.5982,153.87,8.2506
2.99,15,31.817,153.92,8.3081
3,16,38.4747,154.15,8.4198
3.1,17,34.8133,153.92,8.6238
3.2,18,30.8766,154.06,8.4768
3.16,20,17.2878,153.1701,8.2395
2.81,18,54.5982,167.63,7.5632
2.82,19,60.3403,168.67,7.5008
2.83,20,61.5592,164.5101,7.2703
2.84,21,66.6863,163.18,6.9929
2.8609,24.779,51.9354,163.5899,6.917
2.8193,24.354,83.0963,162.18,7.0326
2.8466,24.062,89.1214,161.4701,7.3827
2.8694,23.959,85.6269,161.38,8.0392
2.8261,24.142,51.9354,160.4001,8.8422
2.8496,24.634,84.7749,158.2,9.5272
2.71,8,90.9218,170.8801,7.8304
2.72,9,91.8356,167.17,8.1203
2.74,10,92.7586,168.53,8.0404
2.65,11,94.6324,171.0601,6.8317
2.69,12,95.5835,200.16,6.8887
2.75,13,98.4944,165.3099,6.8786
2.77,14,99.4843,165.5499,6.9108
2.73,15,101.494,165.83,7.0304
2.71,6,102.5141,166.9399,7.2071
2.72,7,104.585,167.6501,7.345
2.76,5.6,106.6977,167.66,7.6158
2.78,7.9,108.8532,167.96,7.9381
2.79,12.3,112.1683,167.98,8.3948
2.784,10.11,114.4342,198.9501,7.5964
2.75,14,115.5843,182.9601,7.2954
2.74,13.5,121.5104,168.78,6.957
2.73,14.3,108.3103,166.27,6.8505
2.71,15,134.2898,167.63,7.5632
2.2,30,130.3209,168.67,7.5008
2.5,32,131.6307,164.5101,7.2703
2.56,35,132.9536,163.18,6.9929
2.3,39,134.2898,163.5899,6.917
2.45,43,135.6394,162.18,7.0326
2.55,42,137.0026,161.4701,7.3827
2.35,47,138.3795,161.38,8.0392
2.45,50,139.7702,160.4001,8.8422
1.7,15,141.175,158.2,9.5272
1.8,12,142.5938,161.5,7.9291
2,14,144.0269,163.1101,7.6423
2.45,16,145.4744,163.9201,7.5727
2.19,17,148.4132,162.0699,7.524
2.65,17,164.0219,161.9899,7.4496
2.68,18,181.2722,160.83,7.4699
2.7,19,190.5663,161.5,7.9291
2.71,20,146.9364,163.1101,7.6423
2.74,21,149.9047,163.9201,7.5727
2.78,22,172.4315,162.0699,7.524
2.8,23,190.5663,161.9899,7.4496
2.7,6,127.7404,176.33,7.0639
2.79,11,148.4132,161.5,7.9291
2.69,12,109.9472,167.17,6.5206
2.75,10,104.585,168.53,6.6097
2.7,6,132.2905,161.5,7.9291
2.59,4,129.0242,163.1101,7.6423
2.8193,24.354,33.1155,150.0799,10.3995
2.8466,24.062,15.6426,150.8699,10.5144
2.8694,23.959,17.2878,150.59,10.4308
2.8261,24.142,25.7903,150.3101,9.6871
2.8496,24.634,21.5419,148.62,9.2022
2.71,8,99.4843,176.33,7.0639
2.72,9,101.494,173.93,6.5489
2.73,10,104.585,172.53,6.3095
2.74,11,109.9472,172.9401,6.3467
2.8609,24.779,12.1825,156.13,8.5817
2.8193,24.354,33.1155,155.23,8.3807
2.8466,24.062,15.6426,155.42,7.9769
2.8694,23.959,17.2878,153.7101,7.8096
2.8261,24.142,25.7903,155.4701,7.8495
2.8496,24.634,23.8075,157.02,7.8759
2.8795,25.509,75.682,161.5,7.9291
2.8947,25.101,68.17,163.1101,7.6423
2.8609,24.779,71.136,163.9201,7.5727
2.8193,24.354,83.74,162.0699,7.524
2.8466,24.062,82.418,161.9899,7.4496
2.8694,23.959,69.939,160.83,7.4699
2.8261,24.142,69.355,161.5,7.9291
2.8496,24.634,85.196,163.1101,7.6423
2.8913,7.2668,18.813,150.0799,10.3995
2.9852,7.5426,17.845,150.8699,10.5144
2.9166,7.956,19.487,150.59,10.4308
3.0093,8.3194,23.046,150.3101,9.6871
3.0047,8.5926,25.701,148.62,9.2022
3.0565,8.595,28.142,148.5799,9.1064
3.0146,8.3128,22.249,148.62,9.1241
2.8735,8.1459,21.36,150.68,9.4776
2.8983,8.0903,18.498,151.2899,10.1281
2.8826,8.2699,20.875,151.6201,10.2888
2.8163,8.1681,20.876,151.86,9.9354
2.946,12.359,29.596,151.4799,9.2376
2.9329,12.125,29.472,150.73,8.5475
2.9531,17.239,9.9918,149.7,7.7021
2.8481,17.745,9.7369,153.36,8.5802
2.9074,13.273,52.031,154.15,8.2646
2.8769,13.003,52.505,153.87,8.2506
2.9011,13.399,20.16,153.92,8.3081
2.9326,13.836,21.454,154.15,8.4198
2.9781,14.272,19.321,153.92,8.6238
2.9762,14.513,16.906,154.06,8.4768
2.9874,14.542,16.486,153.1701,8.2395
3.0294,14.473,18.412,153.03,8.0938
2.7592,9.3483,123.97,170.8801,7.8304
2.7359,9.6893,125.9399,171.52,8.1203
2.7715,10.203,125.21,171.1699,8.0404
2.7459,10.432,123.8,171.0601,6.8317
2.7205,10.5,125.49,200.16,6.8887
2.6489,10.339,126.2799,185.2099,7.1566
2.6985,10.148,127.14,171.2999,7.4838
2.7573,9.9967,126.71,169.0999,7.6704
2.7542,9.8567,126.6199,168.26,7.7167
2.7543,9.8655,124.6399,169.0501,7.7615
2.7397,10.098,122.6101,171.24,7.8762
2.7162,10.445,113.7899,170.8999,7.9014
2.7198,10.45,110.19,170.97,7.7541
2.7295,9.7442,109.51,198.9501,7.5964
2.8622,12.696,53.741,156.13,8.5817
2.8776,12.225,53.555,155.23,8.3807
2.8879,11.62,40.918,155.42,7.9769
2.8604,11.261,49.483,153.7101,7.8096
2.9151,11.218,40.918,155.4701,7.8495
2.9245,11.52,31.971,157.02,7.8759
2.9583,11.981,25.599,156.23,8.2247
2.946,12.514,26.332,156.2599,8.9264
2.9791,12.991,18.027,156.13,8.5817
2.8782,11.73,26.005,155.23,8.3807
2.8965,11.493,24.736,155.42,7.9769
2.9061,11.447,41,153.7101,7.8096
2.9066,11.644,42,155.4701,7.8495
2.9012,11.907,43,157.02,7.8759
2.8704,12.34,44,156.23,8.2247
2.9191,12.81,45,156.2599,8.9264
2.8778,13.345,46,156.13,8.5817
2.9239,13.883,47,155.23,8.3807
2.8826,14.413,48,155.42,7.9769
2.8438,13.978,49,153.7101,7.8096
2.8411,12.656,50,155.4701,7.8495
2.858,10.551,36.804,157.02,7.8759
2.8524,16.931,11.68,156.23,8.2247
2.7498,19.09,57.072,214.6301,5.2364
2.7407,18.488,57.919,219.5,5.2154
2.8003,17.81,69.194,217.8801,5.3543
2.7544,17.232,67.796,225.5,5.4701
2.7444,17.011,69.685,220.62,5.4614
2.7717,16.95,69.566,211.5,5.3795
2.679,18.328,69.894,200.6301,5.223
2.5581,18.043,68.599,217.8801,4.8481
2.0616,17.149,67.668,210.3801,4.4401
1.9125,16.014,72.51,237.3701,4.3205
1.9952,15.047,73.637,214.6301,5.2364
2.6,8,99.4843,167.17,6.5206
2.7,10,109.9472,168.53,6.6097
2.75,15,121.5104,169.49,6.848
2.75,7,109.9472,170.7999,6.9395
2.8,19,134.2898,214.6301,5.2364
2.9,25,4.4817,150.0799,10.3995
2.95,17,7.3891,150.8699,10.5144
3,20,20.0855,150.59,10.4308
3.1,18,12.1825,150.3101,9.6871
3.2,26,33.1155,148.62,9.2022
3.3,18,39.6464,148.5799,9.1064
2,50,49.4024,214.6301,5.2364
2.2,56,54.5982,219.5,5.2154
1,85,60.3403,217.8801,5.3543
2.9,15,66.6863,225.5,5.4701
2.77,20,73.6998,220.62,5.4614
2.8,10,60.3403,211.5,5.3795
2.85,12,66.6863,200.6301,5.223
2.76,3,121.5104,193.2501,6.5451
2.68,5,115.5843,189.3801,6.5246
2.55,35,54.5982,214.6301,5.2364
2.2,37,74.4405,219.5,5.2154
2.59,25,54.5982,217.8801,5.3543
2.65,8,99.4843,170.8801,7.8304
2.86,20,33.1155,150.0799,10.3995
2.7129,16.211,55.766,211.3802,5.5186
2.674,16.602,53.991,208.8801,5.3462
2.6132,17.084,54.749,214.6301,5.2364
2.6161,17.674,55.575,219.5,5.2154
2.6264,18.533,56.513,217.8801,5.3543
2.6313,19.464,57.469,225.5,5.4701
2.7139,20.206,55.971,220.62,5.4614
2.6765,20.479,55.126,211.5,5.3795
2.6698,20.426,56.411,200.6301,5.223
2.6862,20.204,58.151,217.8801,4.8481
2.7129,16.211,55.766,210.3801,4.4401
2.674,16.602,53.991,237.3701,4.3205
2.6132,17.084,54.749,246.6299,4.1882
2.6161,17.674,55.575,272.7501,4.2463
2.6264,18.533,56.513,296.75,4.4349
2.6313,19.464,57.469,312.9999,4.5614
2.7139,20.206,55.971,309.9999,4.5326
2.6765,20.479,55.126,288.2499,4.5272
2.6698,20.426,56.411,272.25,4.5677
2.6862,20.204,58.151,257,4.7341
2.7255,19.949,56.447,254.62,5.0012
2.7308,19.72,56.626,211.3802,5.5186
2.7296,19.438,56.281,208.8801,5.3462
2.1309,14.025,75.684,214.6301,5.2364
2.4497,13.182,77.366,219.5,5.2154
2.6262,12.365,78.717,217.8801,5.3543
2.5871,12.23,77.823,225.5,5.4701
2.1247,12.892,78.097,220.62,5.4614
2.8795,25.509,75.682,211.5,5.3795
2.8947,25.101,68.17,200.6301,5.223
2.8609,24.779,71.136,217.8801,4.8481
2.8193,24.354,83.74,210.3801,4.4401
2.8466,24.062,82.418,206.13,6.4827
2.8694,23.959,89.939,220.32,6.2081
2.8261,24.142,87.355,220.94,6.1533
2.8496,24.634,85.196,216.48,6.3425
2.8947,9.3483,123.97,205,6.8002
2.8609,9.6893,125.9399,200.6399,7.444
